"Date","Vehicle Sales","Unemployment Rate"
2002-07-31,1551.996,5.9
2002-08-31,1734.956,5.7
2002-09-30,1250.986,5.4
2002-10-31,1331.09,5.3
2002-11-30,1227.557,5.6
2002-12-31,1467.708,5.7
2003-01-31,1108.279,6.5
2003-02-28,1237.619,6.4
2003-03-31,1474.819,6.2
2003-04-30,1436.733,5.8
2003-05-31,1601.145,5.8
2003-06-30,1502.328,6.5
2003-07-31,1538.781,6.3
2003-08-31,1656.167,6
2003-09-30,1329.499,5.8
2003-10-31,1333.497,5.6
2003-11-30,1285.36,5.6
2003-12-31,1463.264,5.4
2004-01-31,1149.668,6.3
2004-02-29,1303.718,6
2004-03-31,1540.321,6
2004-04-30,1455.643,5.4
2004-05-31,1660.854,5.3
2004-06-30,1480.758,5.8
2004-07-31,1589.173,5.7
2004-08-31,1463.409,5.4
2004-09-30,1470.081,5.1
2004-10-31,1370.093,5.1
2004-11-30,1231.197,5.2
2004-12-31,1583.603,5.1
2005-01-31,1095.851,5.7
2005-02-28,1286.074,5.8
2005-03-31,1615.983,5.4
2005-04-30,1542.051,4.9
2005-05-31,1537.321,4.9
2005-06-30,1720.006,5.2
2005-07-31,1845.713,5.2
2005-08-31,1524.158,4.9
2005-09-30,1366.93,4.8
2005-10-31,1184.16,4.6
2005-11-30,1200.786,4.8
2005-12-31,1525.713,4.6
2006-01-31,1176.162,5.1
2006-02-28,1298.13,5.1
2006-03-31,1576.647,4.8
2006-04-30,1489.804,4.5
2006-05-31,1533.712,4.4
2006-06-30,1545.268,4.8
2006-07-31,1531.114,5
2006-08-31,1530.014,4.6
2006-09-30,1394.215,4.4
2006-10-31,1260.626,4.1
2006-11-30,1236.584,4.3
2006-12-31,1476.413,4.3
2007-01-31,1124.216,5
2007-02-28,1285.136,4.9
2007-03-31,1574.877,4.5
2007-04-30,1365.965,4.3
2007-05-31,1590.262,4.3
2007-06-30,1481.21,4.7
2007-07-31,1331.024,4.9
2007-08-31,1500.386,4.6
2007-09-30,1335.814,4.5
2007-10-31,1256.533,4.4
2007-11-30,1200.511,4.5
2007-12-31,1414.147,4.8
2008-01-31,1063.408,5.4
2008-02-29,1196.431,5.2
2008-03-31,1378.605,5.2
2008-04-30,1272.999,4.8
2008-05-31,1420.485,5.2
2008-06-30,1212.54,5.7
2008-07-31,1156.003,6
2008-08-31,1269.113,6.1
2008-09-30,984.592,6
2008-10-31,859.026,6.1
2008-11-30,763.936,6.5
2008-12-31,916.12,7.1
2009-01-31,670.466,8.5
2009-02-28,701.635,8.9
2009-03-31,872.848,9
2009-04-30,832.588,8.6
2009-05-31,938.41,9.1
2009-06-30,874.874,9.7
2009-07-31,1011.769,9.7
2009-08-31,1274.678,9.6
2009-09-30,759.633,9.5
2009-10-31,853.942,9.5
2009-11-30,761.865,9.4
2009-12-31,1049.27,9.7
2010-01-31,712.469,10.6
2010-02-28,793.362,10.4
2010-03-31,1083.953,10.2
2010-04-30,997.334,9.5
2010-05-31,1117.57,9.3
2010-06-30,1000.455,9.6
2010-07-31,1065.748,9.7
2010-08-31,1011.564,9.5
2010-09-30,973.954,9.2
2010-10-31,965.135,9
2010-11-30,888.085,9.3
2010-12-31,1162.897,9.1
2011-01-31,836.366,9.8
2011-02-28,1007.082,9.5
2011-03-31,1276.843,9.2
2011-04-30,1173.52,8.7
2011-05-31,1081.272,8.7
2011-06-30,1071.229,9.3
2011-07-31,1086.064,9.3
2011-08-31,1094.479,9.1
2011-09-30,1076.037,8.8
2011-10-31,1048.258,8.5
2011-11-30,1028.774,8.2
2011-12-31,1268.462,8.3
2012-01-31,938.17,8.8
2012-02-29,1175.82,8.7
2012-03-31,1434.004,8.4
2012-04-30,1204.471,7.7
2012-05-31,1369.493,7.9
2012-06-30,1310.158,8.4
2012-07-31,1171.809,8.6
2012-08-31,1305.342,8.2
2012-09-30,1206.182,7.6
2012-10-31,1119.148,7.5
2012-11-30,1169.803,7.4
2012-12-31,1375.084,7.6
2013-01-31,1065.798,8.5
2013-02-28,1217.858,8.1
2013-03-31,1479.427,7.6
2013-04-30,1313.768,7.1
2013-05-31,1473.275,7.3
2013-06-30,1425.802,7.8
2013-07-31,1335.833,7.7
2013-08-31,1527.483,7.3
2013-09-30,1152.814,7
2013-10-31,1235.532,7
2013-11-30,1271.446,6.6
2013-12-31,1383.676,6.5
2014-01-31,1043.019,7
2014-02-28,1221.37,7
2014-03-31,1562.748,6.8
2014-04-30,1408.232,5.9
2014-05-31,1644.367,6.1
2014-06-30,1451.814,6.3
2014-07-31,1473.962,6.5
2014-08-31,1607.315,6.3
2014-09-30,1272.036,5.7
2014-10-31,1312.329,5.5
2014-11-30,1324.117,5.5
2014-12-31,1538.534,5.4
2015-01-31,1177.91,6.1
2015-02-28,1285.147,5.8
2015-03-31,1579.627,5.6
2015-04-30,1479.335,5.1
2015-05-31,1668.452,5.3
2015-06-30,1518.66,5.5
2015-07-31,1546.818,5.6
2015-08-31,1598.265,5.2
2015-09-30,1474.925,4.9
2015-10-31,1486.42,4.8
2015-11-30,1358.777,4.8
2015-12-31,1671.288,4.8
2016-01-31,1188.775,5.3
2016-02-29,1374.272,5.2
2016-03-31,1614.069,5.1
2016-04-30,1524.1,4.7
2016-05-31,1552.659,4.5
2016-06-30,1548.86,5.1
2016-07-31,1546.818,5.1
2016-08-31,1539.79,5
2016-09-30,1462.065,4.8
2016-10-31,1397.057,4.7
2016-11-30,1399.375,4.4
2016-12-31,1717.933,4.5
2017-01-31,1164.323,5.1
2017-02-28,1352.076,4.9
2017-03-31,1582.674,4.6
2017-04-30,1449.717,4.1
2017-05-31,1543.862,4.1
2017-06-30,1502.804,4.5
2017-07-31,1441.011,4.6
2017-08-31,1512.07,4.5
2017-09-30,1553.133,4.1
2017-10-31,1385.649,3.9
2017-11-30,1424.527,3.9
2017-12-31,1639.555,3.9
2018-01-31,1181.715,4.5
2018-02-28,1328.14,4.4
2018-03-31,1687.609,4.1
2018-04-30,1391.226,3.7
2018-05-31,1626.484,3.6
2018-06-30,1586.664,4.2
2018-07-31,1403.118,4.1
2018-08-31,1527.416,3.9
2018-09-30,1474.997,3.6
2018-10-31,1405.908,3.5
2018-11-30,1422.219,3.5
2018-12-31,1665.906,3.7
2019-01-31,1171.503,4.4
2019-02-28,1288.278,4.1
2019-03-31,1642.75,3.9
2019-04-30,1372.659,3.3
2019-05-31,1628.074,3.4
2019-06-30,1554.748,3.8
2019-07-31,1443.947,4
2019-08-31,1685.342,3.8
2019-09-30,1315.632,3.3
2019-10-31,1380.18,3.3
2019-11-30,1446.483,3.3
2019-12-31,1565.023,3.4
