"Robusta","Arabica"
0.9625149,1.0697
1.043863,1.2361
1.040557,1.2009
1.034604,1.1687
1.036809,1.1779
1.044304,1.1859
1.052902,1.2174
1.054005,1.278
1.091923,1.4542
1.10978,1.4193
1.077593,1.291
1.074507,1.4151
1.077593,1.4147
1.058193,1.3567
1.044966,1.3307
1.104489,1.3272
1.146376,1.3779
1.168422,1.3931
1.190467,1.4235
1.226622,1.5304
1.334867,1.6466
1.382706,1.5754
1.411586,1.5498
1.422608,1.5657
1.362424,1.5898
1.303562,1.5232
1.234779,1.379
1.188704,1.2039
1.21119,1.2518
1.227063,1.3069
1.216481,1.2959
1.197522,1.2311
1.154974,1.1788
1.094348,1.1034
1.0809,1.0503
1.047611,1.121
1.087734,1.233
1.293641,1.4478
1.69862,1.8404
1.677677,1.7831
1.610879,1.7723
1.574283,1.709
1.632043,1.8353
1.744476,2.047
1.822297,2.1874
1.815904,2.1958
2.376305,2.7002
2.681638,2.9864
2.867263,3.2977
2.78415,3.0256
2.915763,3.3848
3.022024,3.5133
3.34874,3.8215
3.885773,4.0342
4.496439,4.566
4.767601,4.8272
5.431397,5.4119
6.747966,6.7058
6.883547,7.0036
5.942636,6.2889
4.938676,5.7781
4.331758,4.8488
4.482551,4.396
4.442207,4.1778
3.834407,3.7703
3.675237,4.3466
3.716242,4.4714
3.904953,4.545
3.848296,4.3561
3.475283,3.8576
3.192216,3.9368
3.000198,3.7397
3.331985,3.7148
2.789726,2.9498
2.831835,3.0472
3.238587,3.4244
3.309576,3.3964
3.180385,3.2223
2.911862,2.8898
2.9377,2.8349
2.9211,2.7119
2.9809,2.8735
3.1262,3.0563
3.2558,3.3023
4.1621,4.2589
4.3241,4.4899
4.0111,4.353
4.2293,4.5717
4.064,4.6207
3.909,4.5574
3.902,4.2831
3.5713,3.8078
3.5521,3.7102
3.7225,4.1173
3.6464,4.0528
3.8848,4.2315
3.7613,4.0503
3.2809,3.5164
2.9496,3.1001
2.7567,2.8559
2.7242,2.8373
2.5183,2.5986
2.5505,2.7172
2.6283,2.8894
2.4886,2.8517
2.4723,2.8574
2.4507,2.8887
2.3477,2.8329
1.8583,2.5104
1.9357,2.6691
1.9786,2.782
1.9703,2.8038
2.1656,3.0225
2.3135,3.1804
2.273,3.1343
2.3076,3.1786
2.5168,3.4046
2.4685,3.2196
2.3455,3.1224
2.2822,3.0333
2.2408,3.1004
2.1678,2.9434
2.2478,2.9308
2.4092,3.0042
2.5856,3.0955
2.6943,3.045
2.8177,2.9729
2.745,2.8651
2.6846,2.7983
2.6727,2.7567
2.6727,2.7505
2.7152,2.8323
2.6511,2.8071
2.6469,2.8294
2.6526,2.8559
2.6877,2.9169
2.8726,3.1026
2.8515,3.187
2.9271,3.2333
2.9306,3.1683
3.0049,3.2168
3.0433,3.2699
3.0325,3.3116
3.2293,3.3124
3.165,3.2474
3.0402,3.1771
3.099,3.2121
3.1189,3.1356
2.9787,3.0175
2.9998,3.0911
2.7992,3.1041
2.7675,3.2053
2.7011,3.1764
2.7079,3.2602
2.702,3.1189
2.6685,3.1458
2.6497,3.1281
2.3433,2.9778
2.3466,2.9427
2.2941,2.9427
2.4544,3.0979
2.7816,3.4315
3.3669,4.3422
3.7516,5.2441
3.5721,5.0307
3.7229,5.2823
3.4703,4.9833
3.1416,4.6592
2.7602,3.9039
2.7761,3.7988
2.9751,3.8345
3.6062,4.4011
3.2808,3.9152
3.1337,3.4545
2.7465,3.0034
2.4996,2.7234
2.4269,2.6645
2.157,2.2877
2.229,2.3712
2.3281,2.586
2.1615,2.3176
2.0388,2.2023
2.0845,2.2531
2.1898,2.4365
2.2822,2.6319
2.3111,2.7884
2.2716,2.7972
2.2511,2.8223
2.2702,3.0544
2.1817,3.0104
2.1204,3.0075
2.0737,3.0567
2.0608,3.1718
1.881,3.1299
1.8001,2.9228
1.9789,3.0391
2.0744,2.9502
2.0428,2.9848
2.2151,3.2546
2.2342,3.3563
2.1191,3.0854
2.081,3.0966
2.011,3.172
2.0133,3.0993
1.8464,2.7628
1.4383,1.942
1.314,1.7308
1.3234,1.7289
1.1806,1.5135
1.1744,1.5624
1.1317,1.5977
1.0907,1.6761
1.1036,1.8508
1.2292,2.0885
1.2335,2.088
1.1821,2.0496
1.1171,1.9654
1.1039,1.9103
1.1856,2.0818
1.228,2.103
1.2392,2.019
1.2231,1.8678
1.2447,1.9661
1.1647,1.8945
1.1435,1.9667
1.1324,2.0628
1.1229,2.0273
1.0375,1.9375
1.0005,1.891
1.0005,1.8351
0.99,1.8027
1.0287,1.9193
1.0115,1.7586
1.1112,1.724
1.1197,1.6612
1.0765,1.6184
0.9385,1.5091
0.9389,1.5514
0.9118,1.4533
0.8307,1.3417
0.8195,1.3027
0.864,1.2831
0.8565,1.1669
0.9034,1.1735
0.9742,1.3574
1.0509,1.4839
1.1202,1.7016
1.034,1.5298
1.0361,1.4914
1.0119,1.4026
0.9894,1.2758
1.0179,1.3708
1.0267,1.3779
1.0891,1.5831
1.2888,1.6958
1.3779,1.7807
1.299,1.6896
1.355,1.7328
1.3627,1.7921
1.3093,1.7405
1.3404,1.8503
1.4265,1.9181
1.5833,1.9967
2.0933,2.687
2.4776,3.1621
3.6155,4.8256
3.585,4.4189
4.0297,4.8943
3.7352,4.45
3.3803,4.0325
2.8601,3.7157
2.8999,3.8056
2.9694,3.7431
3.2194,3.9558
3.1918,3.8449
3.1063,3.7701
2.84,3.4059
2.6403,3.2112
2.87,3.3777
2.5364,2.9643
2.4859,2.8058
2.4412,2.7613
2.0479,2.3422
1.9839,2.4394
2.1361,2.7357
2.0049,2.6641
1.9989,2.7227
2.0106,2.8499
1.8984,2.7659
1.7077,2.7
1.7465,2.7827
1.6389,2.6169
1.6076,2.7381
1.5476,2.7353
1.3902,2.5798
1.4813,2.9291
1.6623,3.7119
1.7688,4.2924
1.7062,4.5633
2.0635,5.8923
1.9564,4.8947
1.756,4.1978
1.6413,4.2064
1.6568,4.1859
1.6429,3.6963
1.6764,3.5333
1.821,3.9119
1.8389,3.9198
1.8378,3.9282
1.812,3.4756
1.9615,3.3146
2.0005,3.0362
1.8239,2.7542
1.6984,2.5926
1.748,2.7163
1.7593,2.4659
1.7703,2.4189
1.7672,2.5655
1.8532,2.588
1.8142,2.4903
1.7467,2.3254
1.6186,2.3234
1.5282,2.2511
1.4978,2.4487
1.446,2.3636
1.3572,2.0911
1.3905,2.0144
1.3133,1.8587
1.2901,2.0768
1.39,2.4996
1.4725,2.7439
1.1724,2.4496
1.0772,2.2805
1.0196,2.2207
0.98,2.0858
0.9771,2.0756
0.9409,1.9057
0.8999,1.9257
0.8433,1.6958
0.8561,1.6707
0.7967,1.6901
0.7233,1.5772
0.6698,1.4586
0.7143,1.4546
0.6962,1.4813
0.6729,1.4661
0.6281,1.4579
0.6512,1.526
0.6431,1.4088
0.6047,1.2946
0.5692,1.3166
0.5351,1.2802
0.5124,1.2434
0.5221,1.2974
0.5368,1.2505
0.5029,1.2842
0.5373,1.3034
0.6415,1.4213
0.6468,1.4425
0.6243,1.3536
0.6266,1.2912
0.6305,1.2452
0.6146,1.1964
0.7072,1.3375
0.7348,1.4491
0.8358,1.5404
0.8391,1.4145
0.9078625,1.445569
0.896619,1.464088
0.8194572,1.361353
0.8249688,1.426169
0.8333463,1.460781
0.7542005,1.3457
0.7793332,1.387808
0.800277,1.408532
0.8234256,1.464099
0.7910177,1.417571
0.7519958,1.373037
0.7914586,1.429917
0.878320608,1.603420126
0.81681171,1.680140902
0.80909554,1.720926372
0.801820294,1.663165328
0.806009072,1.697336938
0.878981994,1.812418102
0.794104124,1.652142228
0.747586642,1.622820782
0.754861888,1.774057714
0.698203154,1.77582141
0.721131202,1.990110474
0.809536464,2.295450344
0.814827552,2.362470792
0.909185288,2.664503732
1.091507362,2.976898386
1.11884465,2.855644286
1.236130434,2.830070694
1.323212924,2.671117592
1.276034056,2.423538766
1.145741014,2.38539884
1.033305394,2.193376438
1.047855886,2.31595331
1.13427699,2.375257588
1.243185218,2.331826574
1.397508618,2.73813804
1.388469676,2.626143344
1.31395352,2.505771092
1.33489741,2.544572404
1.324535696,2.410972432
1.327842626,2.27406553
1.421759438,2.314851
1.622379858,2.463221926
1.699982482,2.421334146
1.657212854,2.438971106
1.692927698,2.695588874
1.690282154,2.831613928
1.744515806,2.745413286
1.743413496,2.690297786
1.6975574,2.581169096
1.754436596,2.52649452
1.849896642,2.496511688
2.043241816,2.630773046
2.039493962,2.593294506
1.927719728,2.715871378
2.045446436,2.822795448
2.00840882,2.960584198
2.041257658,2.8880522
2.014802218,3.033116196
2.187203502,3.083381532
2.54523379,3.467646798
2.687872704,3.304504918
2.453521598,3.10190034
2.400390256,3.12945809
2.454623908,3.22205213
2.540383626,3.248728032
2.481520272,3.228225066
2.323228556,3.158559074
1.957041174,2.724689858
2.000913112,2.687211318
1.819031962,2.622836414
1.824102588,2.82852746
1.768546164,2.854541976
1.682345522,2.833377624
1.665149486,2.973591456
1.667133644,3.328755738
1.626789098,3.302300298
1.580271616,3.10630958
1.59504257,3.301638912
1.627450484,3.274522086
1.620616162,3.407681134
1.531769976,3.355652102
1.5407207332,3.4868159689
1.544997696,3.50314118
1.496496056,3.480213132
1.48260695,3.6265999
1.576744224,3.731098888
1.556682182,3.820165536
1.695793704,4.20861958
1.879879474,4.480008302
1.822779816,4.664755458
1.791915136,4.909909202
1.879879474,4.798134968
2.029132248,5.147346776
2.074326958,5.471205454
2.228650358,5.815126174
2.41075197,6.346880518
2.604317606,6.439033634
2.587562494,6.616505544
2.689195476,6.417428358
2.60034929,6.062264076
2.485268126,5.908822524
2.470717634,5.962174328
2.338219972,6.060059456
2.16273222,5.463489284
2.143772488,5.403303158
2.169566542,5.218556002
2.132308464,5.229508955
2.247169166,4.941876192
2.283324934,4.437018212
2.24430316,4.22074499
2.356297856,4.07083083
2.33028334,3.718973478
2.360266172,4.19869879
2.3483803946087,3.8542125370435
2.31374869,3.945828876
2.303166514,3.821047384
2.153252354,3.525407842
2.129442458,3.367336588
2.197785678,3.467646798
2.293466186,3.295025052
2.342629212,3.302079836
2.241657616,3.302741222
2.1864366776522,3.2448939102609
2.0014752901,3.0480965889
2.0989516048696,3.0509161061739
2.072583304,2.979634119
1.9351419486667,2.9163028305714
1.84526694,2.83734594
1.7572186164762,2.6900353312381
1.937640518,2.777159814
1.934113126,2.926192126
2.11423058,3.828102168
2.323008094,4.719870958
2.32697641,4.926884776
2.270538138,4.72229604
2.180589642,4.362722518
2.244082698,4.34089678
2.21013155,4.695179214
2.216084024,4.641386486
2.30823714,4.966788398
2.272081372,4.616033356
2.197344754,4.339133084
2.160748062,4.188778
2.168464232,3.943844718
2.031777792,3.543706188
2.029573172,3.6155768
1.930365272,3.493881776
1.98966955,3.522100912
1.920664944,3.40503559
1.891123036,3.459489704
1.7967653,3.22205213
1.824984436,3.37858015
1.802056388,3.262396676
1.747822736,3.277388092
1.647071602,3.197360386
1.632300648,3.25622374
1.66669272,3.4722765
1.767664316,3.399964964
1.850337566,3.421349778
1.894650428,3.64754379
2.002235884,3.786655312
2.023620698,3.693620348
2.135835856,3.88674506
2.28508863,3.945387952
2.286631864,4.059146344
2.24540547,3.566634236
2.388044384,3.717209782
2.347699838,3.66738537
2.352990926,3.53069893
2.283545396,3.42597948
2.168464232,3.30693
2.24761009,3.157456764
2.313528228,3.299434292
2.304268824,3.304284456
2.186542116,3.231091072
2.169125618,3.102120802
2.013479446,3.10630958
1.931026658,3.029588804
1.95439563,3.060233022
1.967402888,3.004456136
1.944033916,2.976898386
1.946899922,2.961686508
1.956379788,2.989685182
